,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,ALL_STAR
0,1502,Adonal Foyle,1610612744,GSW,23.0,55,9,46,0.164,12.0,1.3,3.1,0.406,0.0,0.0,0.0,0.5,1.1,0.435,1.3,2.0,3.3,0.3,0.9,0.2,0.9,0.3,1.7,0.0,3.0,-3.0,10.0,0,0,23,40,12,57,31,34,34,32,40,51,40,45,37,57,13,17,16,48,33,52,8,30,25,9,39,52,29,18,1,5,"1502,1610612744",0.0
1,1541,Alvin Williams,1610612761,TOR,23.0,54,24,30,0.444,19.8,2.3,5.2,0.443,0.2,0.5,0.321,1.2,1.7,0.722,0.4,1.1,1.5,1.9,1.1,0.7,0.1,0.3,1.5,0.0,6.0,-0.1,11.9,0,0,24,15,25,32,19,22,25,21,22,22,19,22,24,25,37,36,34,11,26,15,51,34,26,19,22,18,25,18,1,5,"1541,1610612761",0.0
2,1533,Anthony Johnson,1610612758,SAC,23.0,77,25,52,0.325,29.4,2.9,7.9,0.371,0.5,1.7,0.328,1.0,1.4,0.727,0.7,1.6,2.2,4.3,1.6,0.8,0.1,0.8,2.4,0.0,7.5,-4.6,17.7,1,0,9,14,8,43,7,17,12,46,8,6,18,30,32,24,29,23,24,4,14,9,49,6,11,19,18,57,16,12,1,5,"1533,1610612758",0.0
3,1515,Anthony Parker,1610612755,PHI,23.0,37,18,19,0.486,5.3,0.7,1.7,0.397,0.2,0.8,0.321,0.4,0.5,0.65,0.2,0.5,0.7,0.5,0.3,0.3,0.1,0.1,0.5,0.0,1.9,-0.7,4.4,0,0,35,22,34,28,51,49,52,37,18,18,19,50,50,41,54,51,53,36,58,42,47,56,60,19,50,31,50,18,1,5,"1515,1610612755",0.0
4,1498,Antonio Daniels,1610612763,VAN,23.0,74,17,57,0.23,26.4,3.1,7.4,0.416,0.1,0.7,0.212,1.5,2.3,0.659,0.3,1.6,1.9,4.5,2.2,0.7,0.1,0.3,1.2,0.0,7.8,-6.7,17.3,4,0,11,23,4,48,11,15,16,27,24,20,33,16,15,40,50,21,28,3,5,14,38,33,39,19,15,61,18,7,1,5,"1498,1610612763",0.0
5,1506,Austin Croshere,1610612754,IND,23.0,26,21,5,0.808,9.4,1.2,3.3,0.372,0.2,0.5,0.308,0.3,0.5,0.571,0.4,1.3,1.7,0.3,0.5,0.3,0.2,0.3,1.2,0.0,2.9,-0.4,6.6,0,0,45,19,54,4,38,35,32,45,23,23,24,52,51,49,40,25,31,45,47,38,30,41,38,19,41,22,36,18,1,5,"1506,1610612754",0.0
6,1517,Bobby Jackson,1610612743,DEN,25.0,68,8,60,0.118,30.1,4.6,11.6,0.392,0.3,1.2,0.259,2.2,2.7,0.814,1.1,3.3,4.4,4.7,2.7,1.5,0.2,0.8,2.4,0.0,11.6,-7.2,26.4,5,0,14,41,2,60,6,5,4,39,15,13,27,11,13,13,16,6,8,2,2,3,35,4,14,13,6,62,6,6,1,5,"1517,1610612743",0.0
7,1585,Brandon Williams,1610612744,GSW,23.0,9,2,7,0.222,15.5,1.8,5.6,0.32,0.3,1.0,0.333,0.2,0.4,0.5,0.4,1.2,1.7,0.3,1.0,0.7,0.3,0.7,2.0,0.0,4.1,-0.8,8.6,0,0,54,59,50,50,26,26,23,59,13,15,12,55,54,53,37,26,32,40,30,18,18,9,22,19,27,32,30,18,1,5,"1585,1610612744",0.0
8,1510,Brevin Knight,1610612739,CLE,22.0,80,45,35,0.563,31.1,3.3,7.4,0.441,0.0,0.1,0.0,2.5,3.1,0.801,0.8,2.3,3.2,8.2,2.4,2.5,0.2,0.6,3.4,0.0,9.0,3.7,30.7,12,0,5,4,18,21,4,14,17,22,40,43,40,7,8,14,22,14,17,1,4,1,22,14,4,19,13,2,4,3,1,5,"1510,1610612739",0.0
9,1528,Bubba Wells,1610612742,DAL,23.0,39,7,32,0.179,10.0,1.2,3.0,0.414,0.0,0.2,0.167,0.8,1.1,0.721,0.6,1.2,1.7,0.9,0.8,0.4,0.1,0.3,1.0,0.0,3.3,-2.4,7.3,0,0,30,44,22,56,32,35,37,28,35,37,37,37,38,26,33,31,30,27,35,30,46,37,42,19,35,47,33,18,1,5,"1528,1610612742",0.0
